,subject,Mem_Update,OSPAN,RAPM,Tau,Mu,Sigma,SCamp
0,1,-0.08152390210127107,-0.3229533683782113,1.3420091496576434,102.72108886,139.88389196,37.80706276,4.679518518518517
1,2,0.9559065867414476,0.9183986413255372,-0.6209296065580149,97.656616825,163.98694462999995,57.422247399999996,4.817836456558764
2,3,1.1306910712747311,0.3633225394254865,0.9494213984145116,102.457896015,124.04167052,41.459445815,3.9810485810485785
3,4,0.4653823882125532,1.1202444965619192,-0.2283418553148831,150.668076445,208.59069924,98.2665272,4.165633693972178
4,5,0.8995244949565181,1.009229276181909,1.7345969009007751,112.829027365,149.215281065,64.349665875,4.68625975869411
5,6,0.4202767147846084,1.009229276181909,-1.406105109044278,111.234232405,138.60017462500002,32.874101585,4.123028169014084
6,7,-1.3726738039761772,1.009229276181909,-1.0135173578011465,165.88452799499996,132.957235125,28.387114865,3.6705106048703873
7,8,-0.7637472126989288,0.8679371775164416,0.9494213984145116,96.223101565,183.588431765,54.43409767,3.653760683760681
8,9,2.1173776775110134,1.291813473512844,0.9494213984145116,115.34775786,188.51188493,59.701667775,4.789210850801479
9,10,0.04815490900406864,-1.0495984472291855,0.5568336471713803,119.37426818,129.667358045,26.885107295,2.8261301896463356
10,11,1.1983495814166487,-1.4028286938928538,-1.406105109044278,142.146800865,160.08317458,68.38699389,4.7689422407794035
11,12,0.6965489645307671,0.2422150262836573,0.5568336471713803,57.27464181000001,180.775421,53.44575337,5.52452987267384
12,13,-1.2429949928708373,0.04036917104727528,0.9494213984145116,108.383219015,153.96708929,53.869475455,5.1288363636363705
13,14,-1.180974691907414,-0.22203044076002024,-1.7986928602874095,144.647528585,152.891954995,52.35617042,5.3302903682719585
14,15,-0.9103406513397478,1.009229276181909,-1.0135173578011465,68.69525001,162.96345494500005,44.70359833000001,4.208144083969466
15,16,-0.1999262948496251,-0.393599417710945,-0.6209296065580149,80.571433165,168.18752525,53.45523159,4.912684563758397
16,17,0.3582564138211852,0.9587678123728146,0.5568336471713803,102.760262175,144.55696629,36.39166761,4.905055865921791
17,18,0.16091909257392906,1.1202444965619192,0.9494213984145116,147.77343081,145.216128305,40.567094515,4.384934036939313
18,19,1.0292033060618568,-0.7165527860891562,0.16424589592824848,155.064370935,117.39824352,59.83057011,3.88015048908954
19,20,0.12145162832447726,1.291813473512844,-1.406105109044278,125.77285106,181.355747805,41.45140324,4.762500000000001
20,21,1.3505812292359602,-0.08073834209455169,0.16424589592824848,113.759184435,155.546076995,46.45849744,4.873773824650569
21,22,-0.3859871977398959,-2.1597506510292868,-1.7986928602874095,104.80169509999999,135.54750346,34.71732096,4.0029255596043685
22,23,0.8431424031715873,-1.917535624745627,0.9494213984145116,97.249310955,163.59702796,47.06635717,4.30131382978724
23,24,-2.297340109249036,-0.8982140558019001,-0.6209296065580149,166.20908179999995,154.794510385,94.232538095,6.075220472440939
24,25,-0.5213042180237284,-0.12110751314182926,0.5568336471713803,103.882306395,148.12515824000005,23.28758836,3.701905604719767
25,26,-1.1358690184794695,0.04036917104727528,0.16424589592824848,143.560290795,176.14735461499995,76.22201436,3.3823853868194824
26,27,-0.4705603354172912,0.16147668418910566,-0.6209296065580149,92.869973855,146.21798478,50.042045985,4.615186170212764
27,28,0.06506953653954706,0.2825841973309348,-0.2283418553148831,157.35076157,153.41287338,37.91564044,5.129818709209567
28,29,-0.2393937590990762,0.4642454670436775,1.7345969009007751,106.373291125,181.975544505,61.140314025,5.124860480207658
29,30,1.271646300737057,0.5752606874236887,0.16424589592824848,96.133515415,178.56447497,51.57354787,4.562111176818451
30,31,-0.4029018252753751,0.15138439142728652,-1.0135173578011465,174.72826594,126.51021542,15.8000566,3.719901065449015
31,32,-0.4085400344538677,0.25230731904547754,-0.6209296065580149,158.75719993,117.42233725,47.17172352,4.455168634064074
32,33,0.20602476600187314,0.7468296643746124,0.9494213984145116,144.3962637,126.98288754,61.4822755,4.591192660550463
33,34,0.20038655682337947,1.0798753255146438,0.5568336471713803,116.739650225,166.98547432499996,65.908124265,4.714100862641007
34,35,1.2039877905951404,1.1202444965619192,-0.6209296065580149,141.77867178,136.893058445,39.785690185,3.6713547954393024
35,36,-1.2542714112278237,0.1412920986654663,0.5568336471713803,144.553224845,131.13728641,21.773096395000003,3.9498353658536622
36,37,-0.6002391465226312,-0.010092292761819102,0.5568336471713803,95.439153295,161.54892688,62.635650645,5.632123510292527
37,38,0.6232522452103577,0.9183986413255372,2.1271846521439066,199.50762562,145.82205493499995,46.942877695,5.639591993841418
38,39,-0.5664098914516732,-0.3431379539018495,-0.2283418553148831,113.360207275,165.962056625,48.89931078,4.186615916955022
39,40,0.2003865568233801,-0.3330456611400292,0.9494213984145116,71.455605095,191.43715835,57.32743406,4.148546824542517
40,41,1.5479185504832158,0.9587678123728146,0.16424589592824848,127.047888035,154.47520618,51.19414829,4.772863606981241
41,42,-0.5100277996667424,-2.099196894458371,-0.2283418553148831,113.21878572,180.68477815,61.248297135,3.452673796791447
42,43,-0.7299179576279708,0.6358144439946034,-0.6209296065580149,101.81245852,155.645891535,47.301517735,4.420708232445514
43,44,-0.8483203503763247,-0.9486755196109944,-1.406105109044278,156.33141367,164.88624867,91.74958584,4.8720955165692
44,45,-0.14918241224318793,0.5348915163764124,0.16424589592824848,155.240928025,154.714976665,59.03614511,5.481244870041037
45,46,0.5217644799974834,0.6156298584709641,0.16424589592824848,129.70225748500002,174.74081003499995,56.33566037,5.0748296836983
46,47,-1.4459705232965867,-0.4036917104727629,0.5568336471713803,87.148174695,166.15345601,60.84816386,3.923900621118005
47,48,-0.3014140600625004,0.5247992236145933,0.16424589592824848,143.337297615,166.79726692000003,31.284823870000004,4.838801004394229
48,49,0.27368327614379,-0.6459067367564225,0.5568336471713803,179.69248557,169.54260018,55.69065665,4.017540834845732
49,50,-0.5043895904882496,0.7064604933273371,0.5568336471713803,109.53778844,175.18121206,47.42251921,5.0284061696658116
50,51,1.5648331780186957,-0.21193814799820115,1.3420091496576434,107.521968245,155.967304805,46.399702425,4.710694618272848
51,52,-0.00822718278086217,-0.10092292761819102,0.16424589592824848,144.272228815,162.39879905499996,65.896816685,4.4542183817753385
52,53,-1.8801126300405504,-4.0066402264421805,-1.406105109044278,150.044068255,170.34762358,55.651324115,6.066740376740369
53,54,0.5048498524620038,0.6660913222800596,-0.6209296065580149,126.182345545,165.839965965,42.52482759,4.571014867485458
54,55,-1.7842630740061691,0.0,-1.7986928602874095,107.32506305,174.994429655,83.151359025,5.5288480222068
55,56,-0.2393937590990762,-0.03027687828545618,-0.2283418553148831,124.86735692,138.97136471,21.51784741,3.565586527293842
56,57,-0.3014140600625004,-1.3826441083692158,-1.0135173578011465,169.89752879,158.92383588,46.17742325,5.673654867256635
57,58,-1.4741615691890515,-0.9083063485637181,-1.406105109044278,185.35665055,137.399359465,38.64646857,3.5225233022636506
58,59,0.6063376176748779,-1.009229276181909,1.7345969009007751,161.741166915,162.40222391499995,61.28383782,4.199703652653341
59,60,-0.5269424272022217,-2.0487354306492755,0.9494213984145116,111.54174584,127.39301294,39.484329175,3.7586195995785046
60,61,-1.468523360010559,-0.4642454670436787,-1.0135173578011465,174.297160735,165.357800185,38.03592057,4.16570318021202
61,62,0.8205895664576139,0.0908306348563708,-0.2283418553148831,174.54364455,204.9732361,60.92197505,5.540229982964219
62,63,-0.284499432527021,0.4642454670436775,0.5568336471713803,119.832998315,159.93231384,37.39956466,4.574737470167069
63,64,0.4484677606770736,0.5752606874236887,0.9494213984145116,154.77593909,149.34581386000005,43.67147491,3.9926562499999974
64,65,2.4669466465775827,0.4238762959964023,-1.0135173578011465,85.862652825,141.55796078999995,31.40795748,4.582468007312626
65,66,0.6683579186383025,0.9183986413255372,0.16424589592824848,125.289691145,150.091327175,42.818747245,3.7387478753541052
66,67,-1.3501209672622048,-1.7055974767474271,-1.0135173578011465,136.00668715999998,129.919411815,41.91525953,5.238025350233487
67,68,-0.9441699064107066,0.8679371775164416,0.16424589592824848,162.73317965,130.93436422500002,10.006523694999998,4.623112244897961
68,69,0.7134635920662473,-0.5449838091382315,-1.0135173578011465,142.88156676,173.60113837,50.59487214000001,3.3496055979643775
69,70,1.8467436369433468,1.291813473512844,-2.1912806115305408,83.06421073,148.55001693999995,56.687583775,4.184752046220514
70,71,-1.1527836460149483,-2.2707658714092958,-0.6209296065580149,136.89248385500002,145.43571287499995,57.805188435,4.781405805350031
71,72,2.2808857436873122,1.1202444965619192,2.1271846521439066,146.08773169999995,112.596176075,30.478275815,3.8321199767035523
72,73,-0.391625406918389,0.6156298584709641,-0.2283418553148831,228.14466335,168.00983630000002,56.47016447,6.327185114503824
73,74,-1.0794869266945386,-1.5542130853201406,0.5568336471713803,98.41985779,171.747619155,54.973905095,5.321926707384788
74,75,0.16091909257392964,-0.03027687828545618,1.3420091496576434,154.08819612,189.74698419,57.92356495,6.731764705882351
75,76,-1.2599096204063165,-0.2926764900927539,0.16424589592824848,208.216485355,115.54997788,10.586418225,3.4716877971473825
76,77,-0.002588973602369152,0.9183986413255372,-1.0135173578011465,95.8966296,149.34920089,40.965538125,4.387146365422399
77,78,-0.7524707943419428,0.38350712494912587,0.5568336471713803,107.77053297,174.09031514499995,53.207124145,5.582325315005731
78,79,0.4371913423200875,1.1202444965619192,0.9494213984145116,90.69739476,136.38900816,30.675975345,4.165317265125432
79,81,-1.1584218551934415,-1.8872587464601696,-0.2283418553148831,149.95807135,194.36234051,60.42743127,3.6171578947368386
80,82,1.311113764986509,0.4642454670436775,0.16424589592824848,80.19051521,190.55146496,38.66661395,3.664872364039963
81,83,-0.977999161481664,0.7064604933273371,-1.0135173578011465,223.18885745,113.80536151,11.4868039,3.10589765828274
82,84,1.9933370755841664,0.5651683946618685,2.1271846521439066,138.94181344,165.69906919999997,52.583869075,4.268486269256525
83,85,-1.2486332020493305,-0.3330456611400292,-1.406105109044278,126.487023565,139.12300598500002,30.47744679,4.465593815881939
84,87,-1.186612901085907,0.2825841973309348,0.5568336471713803,164.71175628,147.98689312,27.01406634,3.8885834411384224
85,88,2.015889912298138,-0.3330456611400292,-1.406105109044278,89.96488568999996,175.10757124499997,55.34353872,3.673604143947655
86,89,-0.41417824363236105,0.8477525919928034,0.16424589592824848,214.70252356,161.98011735,25.15402452,4.522734113712372
87,90,-0.36907257020441625,0.11101522038001012,-1.406105109044278,99.34192524,151.3187024,45.35702908499999,4.720042149631199
88,91,0.11581341914598485,-2.704734460167517,0.16424589592824848,108.624369395,148.22045569,39.414235415,2.8464909560723464
89,92,-0.5325806363807147,0.4945223453291349,1.3420091496576434,117.856660615,142.00762855,48.771753025,4.5049582338902185
90,93,0.7698456838511775,0.0908306348563708,-1.0135173578011465,145.79091399499995,129.28988464,25.642590105,2.8610064239828703
91,94,0.3526182046426929,0.8477525919928034,-1.406105109044278,151.48685547000005,137.417273765,34.47413181,4.7990931174089075
92,95,-0.3014140600625004,0.5046146380909551,0.16424589592824848,138.269286265,156.687354705,49.918118605,4.762193036041539
93,96,0.4992116432835113,0.7468296643746124,0.5568336471713803,117.64850486,166.32899153,46.48395306,5.3151520681265225
94,97,0.3413417862857062,-0.1816612697127427,0.16424589592824848,94.89727487,179.38709869000004,48.134279985,5.3676629213483125
95,98,1.0066504693478855,-0.4642454670436787,0.5568336471713803,142.65622416500003,130.022492005,50.05215364,5.470351458885939
96,99,1.096861816203773,-0.6257221512327832,1.7345969009007751,134.467816635,173.345881495,58.11657805500001,4.214750853242323
97,100,-0.31832868759797944,-0.12110751314182926,-0.6209296065580149,115.391555855,190.063484255,56.75025818,4.1406876606683705
